`职务,地区,公司名字,薪资,经验,公司类型,公司福利
高中物理教师,福州·晋安区·茶园,九色鹿学校,7-10K·13薪,经验不限本科,在线教育,带薪年假，带薪寒暑假，员工旅游，五险一金，包吃，年终奖，全勤奖，节日福利
电梯维保员,福州·鼓楼区·鼓西,三菱电梯,3-8K,经验不限中专/中技,其他服务业,
嵌入式开发工程师,福州·仓山区·金山工业区福湾片,宜美智能科技有限公司,8-13K,3-5年本科,电子/半导体/集成电路,
营销总监,福州·台江区·斗池,1233S2B平台,12-18K,5-10年大专,企业服务,免费食堂，补充医疗保险，定期体检，带薪年假，零食下午茶，节日福利，五险一金
江长维火锅招聘传菜员,福州·仓山区·仓山万达,江长维火锅,4-5K,经验不限学历不限,餐饮,加班补助，全勤奖
策划助理,福州·晋安区·五四北,千寻研学教育科技,4-9K,经验不限中专/中技,旅游,全勤奖，餐补，五险一金
就业创造营-高底薪+高抽成/就近安排,福州·晋安区·新店,麦田房产,5-10K,经验不限学历不限,地产经纪/中介,零食下午茶，员工旅游，带薪年假，年终奖，麦基金，全勤奖，节日福利，股票期权，定期体检，五险一金
化验员,福州·闽侯县·南屿,升腾食品,4-7K,经验不限大专,食品/饮料/烟酒,带薪年假
频道运营主管,福州·台江区·中亭街,朴朴,12-18K·13薪,3-5年本科,互联网,带薪年假，定期体检，年终奖，团建经费，节日福利，股票期权
QT软件工程师,福州,福建捷宇,10-15K·14薪,1-3年大专,智能硬件,带薪年假，团建经费，全勤奖，五险一金，员工旅游，节日福利，年终奖，定期体检，加班补助
兼职护士,福州·台江区·象园,南公社区卫生服务站,4-8K,1-3年中专/中技,医疗/护理/卫生,
舞蹈助教,福州·鼓楼区·华林路,艺时代教育,4-8K,经验不限大专,培训机构,五险一金
美甲师美睫师,福州·晋安区·火车站,密丝绣,4-8K,1-3年学历不限,美容/美发,
法务专员兼行政(可接受应届毕业生),福州·福清市·福清,星石新能源,2-6K,经验不限本科,汽车生产,带薪年假，五险一金
陆大勺餐厅招聘厨师,福州,陆大勺餐厅,6-8K,1-3年中专/中技,餐饮,补充医疗保险
门店就近安排的房产销售,福州·台江区·融侨中心,麦田房产,5-10K,经验不限大专,地产经纪/中介,股票期权，定期体检，五险一金，零食下午茶，年终奖，麦基金，全勤奖，带薪年假，节日福利，员工旅游
广告AE,福州·仓山区·金山,和合文化传媒,4-8K,1-3年大专,广告/公关/会展,
产品经理,福州·闽侯县·新西客站,蓝鲨信息,10-15K,3-5年本科,信息安全,股票期权，零食下午茶，通讯补贴，五险一金，带薪病假，节日福利，带薪年假，年终奖，定期体检
福州市鼓楼区财浩...招聘服务员,福州·鼓楼区·西洪路,福州市鼓楼区财浩...,3-6K,经验不限高中,餐饮,
带货主播,福州·台江区·茶亭,拓华网络,5-10K,经验不限学历不限,互联网,
醉得意招聘质检员,福州·仓山区·金山,醉得意,5-8K,3-5年大专,生活服务,节日福利，五险，年终奖
越月供应链招聘理货员,福州·闽侯县·青口,越月供应链,6-9K,经验不限学历不限,贸易/进出口,
高级前端开发工程师（react）,福州·闽侯县·新西客站,摩尔元数,18-22K·13薪,5-10年本科,计算机软件,节日福利，五险一金，丰厚婚育礼金，带薪年假，年终奖，零食下午茶，福利食堂，年度多次调薪
网络推广,福州·台江区·台江万达,柔美巢,7-12K,经验不限中专/中技,食品/饮料/烟酒,带薪年假，年终奖，节日福利，全勤奖，加班补助，五险一金，通讯补贴
采购助理（电商采购）,福州·仓山区·金山,经纬互通,6-7K·15薪,1-3年本科,互联网,节日福利，带薪年假，年终奖，加班补助，五险一金，员工旅游，定期体检
全职轮滑教练,福州·晋安区·五四北,福建绿动体育轮滑,5-10K,经验不限中专/中技,培训机构,包吃，带薪年假，节日福利，通讯补贴，全勤奖，年终奖，加班补助，员工旅游，餐补，补充医疗保险
美容店长,福州·仓山区·对湖,福建肤璨科技有限公司,6-11K,3-5年学历不限,美容/美发,
丹诺西诚招聘机修工,福州,丹诺西诚,4-5K,1-3年中专/中技,汽车零部件,带薪年假，学历补贴，包吃，员工旅游，年终奖，全勤奖，五险一金，定期体检，加班补助，节日福利，交通补助
鼓西孟磊招聘厨师长,福州,鼓西孟磊,7-10K,1-3年学历不限,餐饮,
